InvoiceID,Spending_Segment
784-21-9238,Low
279-62-1445,Low
192-98-7397,Low
308-39-1707,Low
236-86-3015,Low
778-71-5554,Low
490-29-1201,Low
593-08-5916,Low
489-64-4354,Low
382-03-4532,Low
802-43-8934,Low
559-61-5987,Low
390-80-5128,Low
756-49-0168,Low
896-34-0956,Low
746-19-0921,Low
862-29-5914,Low
320-32-8842,Low
556-72-8512,Low
633-91-1052,Low
568-88-3448,Low
856-22-8149,Low
840-76-5966,Low
838-02-1821,Low
156-20-0370,Low
296-11-7041,Low
883-17-4236,Low
421-95-9805,Low
549-23-9016,Low
764-44-8999,Low
617-15-4209,Low
488-25-4221,Low
320-49-6392,Low
318-12-0304,Low
307-04-2070,Low
545-46-3100,Low
573-98-8548,Low
859-71-0933,Low
727-02-1313,Low
242-55-6721,Low
649-29-6775,Low
479-26-8945,Low
574-31-8277,Low
320-85-2052,Low
729-46-7422,Low
482-17-1179,Low
523-38-0215,Low
390-17-5806,Low
573-10-3877,Low
622-20-1945,Low
449-27-2918,Low
575-67-1508,Low
528-87-5606,Low
608-05-3804,Low
233-67-5758,Low
687-15-1097,Low
324-92-3863,Low
504-35-8843,Low
105-10-6182,Low
722-13-2115,Low
569-71-4390,Low
470-31-3286,Low
560-49-6611,Low
442-48-3607,Low
318-81-2368,Low
169-52-4504,Low
651-96-5970,Low
837-55-7229,Low
605-03-2706,Low
163-56-7055,Low
735-06-4124,Low
516-77-6464,Low
825-94-5922,Low
659-65-8956,Low
413-20-6708,Low
664-14-2882,Low
471-06-8611,Low
807-34-3742,Low
885-56-0389,Low
462-78-5240,Low
238-45-6950,Low
587-73-4862,Low
676-10-2200,Low
895-66-0685,Low
154-74-7179,Low
605-83-1050,Low
491-38-3499,Low
790-38-4466,Low
226-34-0034,Low
584-66-4073,Low
351-62-0822,Low
389-25-3394,Low
273-84-2164,Low
291-59-1384,Low
443-60-9639,Low
652-49-6720,Low
278-97-7759,Low
428-83-5800,Low
650-98-6268,Low
275-28-0149,Low
881-41-7302,Low
346-84-3103,Low
821-07-3596,Low
305-89-2768,Low
347-56-2442,Low
273-16-6619,Low
838-78-4295,Low
366-93-0948,Low
794-42-3736,Low
151-33-7434,Low
232-16-2483,Low
732-67-5346,Low
549-96-4200,Low
162-65-8559,Low
886-54-6089,Low
686-41-0932,Low
220-28-1851,Low
239-48-4278,Low
333-23-2632,Low
616-24-2851,Low
870-76-1733,Low
841-18-8232,Low
190-14-3147,Low
665-32-9167,Low
279-74-2924,Low
316-68-6352,Low
441-94-7118,Low
359-90-3665,Low
835-16-0096,Low
227-50-3718,Low
585-90-0249,Low
631-34-1880,Low
285-68-5083,Low
871-39-9221,Low
400-60-7251,Low
556-86-3144,Low
277-63-2961,Low
339-12-4827,Low
843-73-4724,Low
593-95-4461,Low
578-80-7669,Low
546-80-2899,Low
226-31-3081,Low
525-88-7307,Low
343-87-0864,Low
172-42-8274,Low
563-36-9814,Low
696-90-2548,Low
445-30-9252,Low
512-98-1403,Low
860-73-6466,Low
636-98-3364,Low
885-17-6250,Low
319-50-3348,Low
225-98-1496,Low
173-50-1108,Low
284-54-4231,Low
679-22-6530,Low
865-41-9075,Low
186-09-3669,Low
390-31-6381,Low
388-76-2555,Low
115-38-7388,Low
453-63-6187,Low
187-83-5490,Low
219-61-4139,Low
784-08-0310,Low
451-73-2711,Low
237-44-6163,Low
565-91-4567,Low
280-35-5823,Low
586-25-0848,Low
213-72-6612,Low
211-30-9270,Low
574-57-9721,Low
848-95-6252,Low
848-24-9445,Low
450-28-2866,Low
569-76-2760,Low
325-89-4209,Low
313-66-9943,Low
106-35-6779,Low
394-43-4238,Low
779-06-0012,Low
511-54-3087,Low
364-33-8584,Low
321-49-7382,Low
512-91-0811,Low
478-06-7835,Low
604-70-6476,Low
247-11-2470,Low
210-30-7976,Low
