InvoiceID,Branch,City,ProductLine,TotalAmount,Avg_Sales,Deviation
860-79-0874,C,Naypyitaw,"Fashion accessories",1043,305.0449,2.41916878
687-47-8271,A,Yangon,"Fashion accessories",1039,305.0449,2.40605596
271-88-8734,C,Naypyitaw,"Fashion accessories",1021,305.0449,2.34704825
283-26-5248,C,Naypyitaw,"Food and beverages",1034,322.7184,2.20403175
702-83-5291,C,Naypyitaw,"Fashion accessories",943,305.0449,2.09134819
751-41-9720,C,Naypyitaw,"Home and lifestyle",1024,336.6625,2.04162180
744-16-7898,B,Mandalay,"Home and lifestyle",1022,336.6625,2.03568113
303-96-2227,B,Mandalay,"Home and lifestyle",1022,336.6625,2.03568113
554-42-2417,C,Naypyitaw,"Sports and travel",1002,332.0783,2.01736066
234-65-2137,C,Naypyitaw,"Home and lifestyle",1004,336.6625,1.98221513
817-69-8206,B,Mandalay,"Electronic accessories",942,319.6353,1.94710878
280-17-4359,C,Naypyitaw,"Health and beauty",950,323.6184,1.93555620
393-65-2792,C,Naypyitaw,"Food and beverages",940,322.7184,1.91275614
704-48-3927,A,Yangon,"Electronic accessories",931,319.6353,1.91269456
866-99-7614,C,Naypyitaw,"Food and beverages",937,322.7184,1.90346011
277-35-5865,C,Naypyitaw,"Food and beverages",935,322.7184,1.89726275
384-59-6655,A,Yangon,"Food and beverages",932,322.7184,1.88796672
852-62-7105,B,Mandalay,"Fashion accessories",874,305.0449,1.86515198
766-85-7061,B,Mandalay,"Health and beauty",923,323.6184,1.85212460
219-22-9386,B,Mandalay,"Sports and travel",945,332.0783,1.84571440
574-22-5561,C,Naypyitaw,"Fashion accessories",868,305.0449,1.84548275
743-04-1105,B,Mandalay,"Health and beauty",919,323.6184,1.83976436
731-81-9469,C,Naypyitaw,"Sports and travel",943,332.0783,1.83969172
641-51-2661,C,Naypyitaw,"Food and beverages",915,322.7184,1.83528922
325-77-6186,A,Yangon,"Home and lifestyle",952,336.6625,1.82775777
751-69-0068,C,Naypyitaw,"Sports and travel",938,332.0783,1.82463503
827-77-7633,A,Yangon,"Sports and travel",927,332.0783,1.79151032
139-32-4183,A,Yangon,"Sports and travel",921,332.0783,1.77344229
